index,street_raw,street,street_no,apartment_no
00006.jpg,do. flower.,flower,130,apt. no.5. /st. fl
00009.jpg,i lower,flower,,cipt. no. 207
00002.jpg,west second.,west,711,
00008.jpg,flower,flower,,apt. no. 109/2
00007.jpg,south flower,flower,120,12615
00004.jpg,west decond.,west,71144 r,head of 711–½-13.
00016.jpg,i low,flower,124,ipt. no. 202
00034.jpg,do. i lower.,flower,130,apt. no.12-2nd floor
00019.jpg,west second.,west,715,west rear
00005.jpg,do. flower,flower,,apt. no. 21- 3 rof lo0.
00017.jpg,so. flower.,flower,130,apt. no. 2-1st floor
00000.jpg,flowe,flower,,apt. no. 307%
00001.jpg,so. flower,flower,116,"st. flow
south"
00014.jpg,swe,west,,·0
00012.jpg,as. flower,flower,forg,2 zur door
00003.jpg,jo. i lower.,flower,,apt. no. 27 3rd floo
00020.jpg,so. i lower,flower,130,apt.no.25-3p flo0
00032.jpg,south flower,flower,124,manager - apt no. 10
00024.jpg,so. i lower.,flower,130,"a
lobby"
00026.jpg,west first.,west,820,apt no.3 manager
00030.jpg,do. flower.,flower,110,2nd. floor
00029.jpg,,west,,apt. no.304
00027.jpg,,west,124,0.301
00023.jpg,do. i lower,flower,,8
00021.jpg,#NAME?,west,711½,front east side
00028.jpg,west second,west,72112,"nd floor
west"
00022.jpg,so. flower,flower,"1,977",12616
00033.jpg,west decond,west,719,"co
east"
00010.jpg,west second,west,713,manaqul- leasie
00018.jpg,so. flower,flower,08/,apt. no. 17- 2nd floo
00031.jpg,west second,west,711,2nd flood west
00025.jpg,"i
lower.",flower,124,apt. no. 106
00035.jpg,so. flower,flower,08/,"apt. no.14- 2 no. floo
an"
00038.jpg,west second,west,711,2nd. fler
00049.jpg,so. i lowe,flower,,apt. no. 209
00044.jpg,so. flower,flower,,apt. no. 105
00055.jpg,west second,west,711,2nd flood west
00059.jpg,so. i lover,flower,130,apt. no.9 2nd flog
00053.jpg,west second,west,715,room no. 2. east sio.
00043.jpg,west second,west,711,2nd flood west
00045.jpg,so. flower,flower,130,apt. no.10-2nd flo
00060.jpg,so. flower,flower,130,apt. no.11- 2nd. floo.
00058.jpg,flower,flower,124,apt. no. 305
00048.jpg,flower,flower,971,"f
south"
00050.jpg,"so
flo",flower,,cipt. no. 108
00037.jpg,"so. i lower.
e",flower,/24,apt. no. 102.
00047.jpg,so. fluver,flower,124,apt. no. 104
00041.jpg,so. flower,flower,9 fil,1st floor south mon
00051.jpg,so. i lower,flower,130,apt. no. 7- / st-flo
00052.jpg,to. flower,flower,130,"apt. no.15 2nd floo
loc"
00040.jpg,so. flower,flower,,apt. no. 307
00036.jpg,west second,west,7191,"2nd floor
east"
00056.jpg,"so. i love
ver",flower,,apt. no. 202
00064.jpg,so. flower,flower,130,apt. no.28-31² flo
00057.jpg,west first,west,820,apt. no. 18- 2nd flo
00046.jpg,west second,west,721,zower floor west
00042.jpg,10. flower,flower,124,apt. no. 109
00062.jpg,jo. flower,flower,,apt. no. 303
00061.jpg,so. i lower,flower,124,apt. no. 306
00067.jpg,i lover,flower,,"in
b"
00063.jpg,west zirst.,west,820,apt. no. 4-st. floof
00068.jpg,so. i lower,flower,126,apt. no.107
00066.jpg,so. flower,flower,130,cpt. no. 18-2vp floo
00065.jpg,west second,west,715,room no. 3 east side
00071.jpg,so. flower,flower,124,apt. no. 103
00069.jpg,flower,flower,,cipt. no. 205
00076.jpg,west second.,west,7/1/02,rear east vide
00073.jpg,flower,flower,130,apt. no.16-2nd floof
00074.jpg,west second.,west,715,room no.1- east sid
00075.jpg,flower,flower,,"apt. no. 24.
3
200"
00070.jpg,so. flower,flower,146,"floor
southe"
00072.jpg,south flower,flower,941,north side
00086.jpg,so. i lower.,flower,130,apt. no.8-/st. floo
00090.jpg,so. flower.,flower,130,apt. no.20- 3rd floo
00080.jpg,ve,west,,no. 3
00082.jpg,flower,flower,"6
9+1","2nt. floor.
front."
00085.jpg,so. i lower.,flower,130,apt. no. 6. ist. floor
00077.jpg,so. flower,flower,130,"apt. no.3-
1st floo"
00083.jpg,"le
flower",flower,124,apt. no. 208
00079.jpg,lower,flower,fet,no. 204
00087.jpg,so. ilan,bunker hill ave,xxl,cipt. no. 201
00084.jpg,flower,flower,12,cipt. 105h.
00081.jpg,10. i lower,flower,o,"to
apt. no. 22-310. floo"
00094.jpg,flower.,flower,130,"apt. no. 4.
st. flog"
00091.jpg,,west,,
00096.jpg,do. ilower,flower,130,apt. no.26- 3 rp. flo
00095.jpg,west second.,west,711½,middle-east side
00089.jpg,so. flower,flower,,2nd. flen.
00093.jpg,sa. flower,flower,q1/,floo
00078.jpg,so. i lower.,flower,2-Jan,"22
d. floor"
00092.jpg,so. i lower,flower,124,apt. no. 309/2
00088.jpg,"1o.
flower",flower,24,no. 207/
00097.jpg,west second,west,715,west middle
00098.jpg,so. i lower.,flower,130,cpt. no. 19-30 floo
00103.jpg,west second,west,715,west middle
00101.jpg,west second.,west,711½,middle-east side
00099.jpg,south flower,flower,120,12615
00102.jpg,jo. i lower.,flower,,apt. no. 27 3rd floo
00108.jpg,so. i lowe,flower,,apt. no. 209
00104.jpg,do. flower,flower,,apt. no. 21- 3 rof lo0.
00107.jpg,lower,flower,fet,no. 204
00105.jpg,flower.,flower,130,"apt. no. 4.
st. flog"
00119.jpg,do. ilower,flower,130,apt. no.26- 3 rp. flo
00115.jpg,,west,,
00109.jpg,west decond.,west,71144 r,head of 711–½-13.
00106.jpg,so. flower,flower,116,"st. flow
south"
00112.jpg,west second,west,713,manaqul- leasie
00116.jpg,do. flower.,flower,130,apt. no.5. /st. fl
00113.jpg,"le
flower",flower,124,apt. no. 208
00110.jpg,so. flower,flower,130,"apt. no.3-
1st floo"
00114.jpg,sa. flower,flower,q1/,floo
00111.jpg,so. flower.,flower,130,apt. no. 2-1st floor
00125.jpg,,west,,apt. no.304
00117.jpg,so. flower.,flower,130,apt. no.20- 3rd floo
00123.jpg,so. i lover,flower,130,apt. no.9 2nd flog
00120.jpg,west second,west,711,2nd flood west
00122.jpg,so. flower,flower,"1,977",12616
00126.jpg,so. flower,flower,9 fil,1st floor south mon
00121.jpg,west first.,west,820,apt no.3 manager
00124.jpg,so. i lower,flower,126,apt. no.107
00127.jpg,ve,west,,no. 3
00130.jpg,so. flower,flower,,apt. no. 105
00128.jpg,west zirst.,west,820,apt. no. 4-st. floof
00131.jpg,west decond,west,719,"co
east"
00129.jpg,west second.,west,711,
00132.jpg,to. flower,flower,130,"apt. no.15 2nd floo
loc"
00134.jpg,west second,west,7191,"2nd floor
east"
00140.jpg,west second,west,711,✓
00138.jpg,south flower,flower,941,north side
00136.jpg,west second,west,711,2nd. fler
00135.jpg,so. flower,flower,124,apt. no. 103
00143.jpg,west second,west,721,zower floor west
00141.jpg,flower,flower,12,cipt. 105h.
00139.jpg,flower,flower,124,apt. no. 305
00142.jpg,so. flower,flower,130,apt. no.10-2nd flo
00137.jpg,so. i lower,flower,124,apt. no. 309/2
00150.jpg,west second,west,715,room no. 2. east sio.
00133.jpg,do. i lower.,flower,130,apt. no.12-2nd floor
00148.jpg,so. i lower.,flower,130,apt. no.8-/st. floo
00144.jpg,"i
lower.",flower,124,apt. no. 106
00154.jpg,flowe,flower,,apt. no. 307%
00146.jpg,jo. flower,flower,,apt. no. 303
00153.jpg,so. flower,flower,,apt. no. 307
00147.jpg,10. flower,flower,124,apt. no. 109
00155.jpg,so. flower,flower,130,apt. no.11- 2nd. floo.
00149.jpg,so. flower,flower,08/,apt. no. 17- 2nd floo
00151.jpg,"so. i lower.
e",flower,/24,apt. no. 102.
00158.jpg,so. i lower,flower,124,apt. no. 306
00157.jpg,do. i lower,flower,,8
00161.jpg,flower,flower,130,apt. no.16-2nd floof
00160.jpg,west second,west,715,room no. 3 east side
00152.jpg,west second,west,711,2nd floor
00159.jpg,south flower,flower,124,manager - apt no. 10
00156.jpg,so. i lower.,flower,130,"a
lobby"
00145.jpg,flower,flower,971,"f
south"
00162.jpg,i lover,flower,,"in
b"
00163.jpg,"so
flo",flower,,cipt. no. 108
00164.jpg,"1o.
flower",flower,24,no. 207/
00165.jpg,so. flower,flower,146,"floor
southe"
00166.jpg,so. fluver,flower,124,apt. no. 104
00168.jpg,so. i lower.,flower,130,cpt. no. 19-30 floo
00169.jpg,west second.,west,715,room no.1- east sid
00167.jpg,west second,west,72112,"nd floor
west"
00178.jpg,"so. i love
ver",flower,,apt. no. 202
00174.jpg,swe,west,,·0
00173.jpg,do. flower.,flower,110,2nd. floor
00171.jpg,west second.,west,7/1/02,rear east vide
00176.jpg,so. i lower,flower,130,apt.no.25-3p flo0
00177.jpg,flower,flower,"6
9+1","2nt. floor.
front."
00179.jpg,so. ilan,bunker hill ave,xxl,cipt. no. 201
00184.jpg,as. flower,flower,forg,2 zur door
00180.jpg,so. i lower.,flower,130,apt. no. 6. ist. floor
00182.jpg,flower,flower,,apt. no. 109/2
00181.jpg,so. i lower,flower,130,apt. no. 7- / st-flo
00185.jpg,10. i lower,flower,o,"to
apt. no. 22-310. floo"
00187.jpg,so. i lower.,flower,2-Jan,"22
d. floor"
00183.jpg,,west,124,0.301
00189.jpg,so. flower,flower,,2nd. flen.
00186.jpg,flower,flower,,cipt. no. 205
00193.jpg,so. flower,flower,130,cpt. no. 18-2vp floo
00191.jpg,so. flower,flower,130,apt. no.28-31² flo
00192.jpg,west second.,west,715,west rear
00190.jpg,#NAME?,west,711½,front east side
00188.jpg,west first,west,820,apt. no. 18- 2nd flo
00194.jpg,flower,flower,971,"f
south"
00196.jpg,so. i lower.,flower,130,"a
lobby"
00195.jpg,i lover,flower,,"in
b"
00198.jpg,west second.,west,7/1/02,rear east vide
00200.jpg,west second,west,72112,"nd floor
west"
00197.jpg,so. flower,flower,9 fil,1st floor south mon
00201.jpg,south flower,flower,941,north side
00199.jpg,so. i lower,flower,130,apt. no. 7- / st-flo
00204.jpg,flower.,flower,130,"apt. no. 4.
st. flog"
00206.jpg,west second,west,721,zower floor west
00202.jpg,so. i lower.,flower,130,apt. no.8-/st. floo
00203.jpg,west second,west,713,manaqul- leasie
00211.jpg,do. flower.,flower,130,apt. no.5. /st. fl
00205.jpg,flower,flower,"6
9+1","2nt. floor.
front."
00212.jpg,so. i lower.,flower,130,apt. no. 6. ist. floor
00210.jpg,so. flower,flower,,2nd. flen.
00207.jpg,west second,west,7191,"2nd floor
east"
00216.jpg,jo. i lower.,flower,,apt. no. 27 3rd floo
00208.jpg,so. flower,flower,146,"floor
southe"
00213.jpg,as. flower,flower,forg,2 zur door
00214.jpg,so. ilan,bunker hill ave,xxl,cipt. no. 201
00217.jpg,so. i lower,flower,124,apt. no. 306
00209.jpg,so. flower,flower,130,"apt. no.3-
1st floo"
00215.jpg,so. flower,flower,130,apt. no.11- 2nd. floo.
00220.jpg,flower,flower,124,apt. no. 305
00218.jpg,west first,west,820,apt. no. 18- 2nd flo
00225.jpg,to. flower,flower,130,"apt. no.15 2nd floo
loc"
00221.jpg,so. flower,flower,130,apt. no.28-31² flo
00222.jpg,do. i lower.,flower,130,apt. no.12-2nd floor
00223.jpg,i low,flower,124,ipt. no. 202
00224.jpg,south flower,flower,124,manager - apt no. 10
00227.jpg,jo. flower,flower,,apt. no. 303
00228.jpg,,west,,apt. no.304
00226.jpg,sa. flower,flower,q1/,floo
00232.jpg,so. i lower,flower,130,apt.no.25-3p flo0
00229.jpg,do. flower.,flower,110,2nd. floor
00230.jpg,so. flower,flower,08/,"apt. no.14- 2 no. floo
an"
00233.jpg,so. flower,flower,130,cpt. no. 18-2vp floo
00234.jpg,so. flower,flower,"1,977",12616
00236.jpg,so. flower,flower,,apt. no. 307
00235.jpg,flowe,flower,,apt. no. 307%
00239.jpg,do. ilower,flower,130,apt. no.26- 3 rp. flo
00241.jpg,flower,flower,,"apt. no. 24.
3
200"
00237.jpg,so. flower,flower,116,"st. flow
south"
00240.jpg,so. flower,flower,08/,apt. no. 17- 2nd floo
00238.jpg,so. i lower.,flower,130,cpt. no. 19-30 floo
00246.jpg,ve,west,,no. 3
00243.jpg,do. i lower,flower,,8
00247.jpg,,west,124,0.301
00242.jpg,"so. i love
ver",flower,,apt. no. 202
00250.jpg,do. flower,flower,,apt. no. 21- 3 rof lo0.
00245.jpg,so. i lower.,flower,2-Jan,"22
d. floor"
00249.jpg,flower,flower,130,apt. no.16-2nd floof
00253.jpg,i lower,flower,,cipt. no. 207
00254.jpg,so. fluver,flower,124,apt. no. 104
00248.jpg,10. i lower,flower,o,"to
apt. no. 22-310. floo"
00252.jpg,"1o.
flower",flower,24,no. 207/
00257.jpg,flower,flower,12,cipt. 105h.
00251.jpg,so. flower,flower,,apt. no. 105
00258.jpg,south flower,flower,120,12615
00256.jpg,"le
flower",flower,124,apt. no. 208
00255.jpg,so. flower.,flower,130,apt. no.20- 3rd floo
00262.jpg,swe,west,,·0
00260.jpg,"i
lower.",flower,124,apt. no. 106
00261.jpg,so. i lowe,flower,,apt. no. 209
00266.jpg,10. flower,flower,124,apt. no. 109
00259.jpg,so. i lower,flower,124,apt. no. 309/2
00265.jpg,west zirst.,west,820,apt. no. 4-st. floof
00263.jpg,flower,flower,,apt. no. 109/2
00264.jpg,west first.,west,820,apt no.3 manager
00267.jpg,flower,flower,,cipt. no. 205
00269.jpg,,west,,
00272.jpg,lower,flower,fet,no. 204
00270.jpg,"so. i lower.
e",flower,/24,apt. no. 102.
00268.jpg,so. i lower,flower,126,apt. no.107
00274.jpg,west second,west,711,2nd floor
00271.jpg,so. flower,flower,124,apt. no. 103
00273.jpg,"so
flo",flower,,cipt. no. 108
00275.jpg,west second,west,715,room no. 3 east side
00276.jpg,west decond,west,719,"co
east"
00277.jpg,west second,west,711,✓
00279.jpg,west second,west,715,room no. 2. east sio.
00278.jpg,so. flower.,flower,130,apt. no. 2-1st floor
00280.jpg,west second,west,711,2nd flood west
00281.jpg,west second.,west,715,room no.1- east sid
00290.jpg,west second.,west,715,west rear
00289.jpg,west second.,west,711½,middle-east side
00291.jpg,west second,west,715,west middle
00284.jpg,west second.,west,711,
00296.jpg,do. ilower,flower,130,apt. no.26- 3 rp. flo
00301.jpg,flower,flower,,apt. no. 109/2
00285.jpg,so. i lover,flower,130,apt. no.9 2nd flog
00286.jpg,so. flower,flower,130,apt. no.10-2nd flo
00287.jpg,west second,west,711,2nd. fler
00300.jpg,ve,west,,no. 3
00298.jpg,so. flower,flower,08/,apt. no. 17- 2nd floo
00299.jpg,so. flower,flower,130,"apt. no.3-
1st floo"
00293.jpg,so. flower,flower,,apt. no. 307
00303.jpg,west second,west,713,manaqul- leasie
00307.jpg,,west,,
00292.jpg,#NAME?,west,711½,front east side
00295.jpg,west second,west,711,2nd. fler
00308.jpg,south flower,flower,120,12615
00305.jpg,as. flower,flower,forg,2 zur door
00302.jpg,lower,flower,fet,no. 204
00304.jpg,so. flower,flower,,2nd. flen.
00309.jpg,10. flower,flower,124,apt. no. 109
00306.jpg,west second.,west,7/1/02,rear east vide
00310.jpg,flower.,flower,130,"apt. no. 4.
st. flog"
00314.jpg,west second.,west,711,
00312.jpg,west second,west,715,west middle
00313.jpg,so. flower.,flower,130,apt. no.20- 3rd floo
00315.jpg,so. i lower.,flower,2-Jan,"22
d. floor"
00316.jpg,flowe,flower,,apt. no. 307%
00311.jpg,so. i lower.,flower,130,cpt. no. 19-30 floo
00322.jpg,,west,,apt. no.304
00321.jpg,west second,west,721,zower floor west
00323.jpg,sa. flower,flower,q1/,floo
00317.jpg,so. i lower.,flower,130,"a
lobby"
00331.jpg,west second,west,711,2nd floor
00318.jpg,flower,flower,12,cipt. 105h.
00320.jpg,so. i lowe,flower,,apt. no. 209
00328.jpg,do. i lower.,flower,130,apt. no.12-2nd floor
00324.jpg,west second,west,711,✓
00327.jpg,so. flower,flower,130,apt. no.11- 2nd. floo.
00326.jpg,west second,west,715,room no. 3 east side
00336.jpg,"le
flower",flower,124,apt. no. 208
00329.jpg,west decond,west,719,"co
east"
00337.jpg,west second,west,711,2nd flood west
00335.jpg,west zirst.,west,820,apt. no. 4-st. floof
00332.jpg,do. flower.,flower,110,2nd. floor
00334.jpg,south flower,flower,941,north side
00333.jpg,so. i lower,flower,124,apt. no. 306
00325.jpg,south flower,flower,124,manager - apt no. 10
00338.jpg,so. fluver,flower,124,apt. no. 104
00341.jpg,so. flower,flower,124,apt. no. 103
00339.jpg,so. i lover,flower,130,apt. no.9 2nd flog
00343.jpg,"1o.
flower",flower,24,no. 207/
00342.jpg,flower,flower,971,"f
south"
00344.jpg,"i
lower.",flower,124,apt. no. 106
00346.jpg,so. flower,flower,08/,"apt. no.14- 2 no. floo
an"
00345.jpg,so. i lower,flower,130,apt. no. 7- / st-flo
00348.jpg,jo. i lower.,flower,,apt. no. 27 3rd floo
00340.jpg,west second,west,7191,"2nd floor
east"
00347.jpg,west second.,west,715,room no.1- east sid
00351.jpg,jo. flower,flower,,apt. no. 303
00349.jpg,"so. i love
ver",flower,,apt. no. 202
00355.jpg,,west,124,0.301
00358.jpg,west second,west,715,room no. 2. east sio.
00350.jpg,west first,west,820,apt. no. 18- 2nd flo
00354.jpg,flower,flower,124,apt. no. 305
00356.jpg,west first.,west,820,apt no.3 manager
00357.jpg,so. flower,flower,130,apt. no.28-31² flo
00353.jpg,so. flower,flower,130,apt. no.10-2nd flo
00360.jpg,so. i lower.,flower,130,apt. no.8-/st. floo
00365.jpg,west second,west,72112,"nd floor
west"
00359.jpg,to. flower,flower,130,"apt. no.15 2nd floo
loc"
00352.jpg,i lover,flower,,"in
b"
00366.jpg,so. flower,flower,130,cpt. no. 18-2vp floo
00369.jpg,west second.,west,711½,middle-east side
00363.jpg,so. flower,flower,9 fil,1st floor south mon
00364.jpg,"so. i lower.
e",flower,/24,apt. no. 102.
00361.jpg,so. flower,flower,,apt. no. 105
00362.jpg,swe,west,,·0
00372.jpg,i low,flower,124,ipt. no. 202
00370.jpg,so. flower.,flower,130,apt. no. 2-1st floor
00373.jpg,do. i lower,flower,,8
00371.jpg,so. flower,flower,116,"st. flow
south"
00368.jpg,so. i lower,flower,130,apt.no.25-3p flo0
00377.jpg,i lower,flower,,cipt. no. 207
00378.jpg,"so
flo",flower,,cipt. no. 108
00375.jpg,do. flower,flower,,apt. no. 21- 3 rof lo0.
00381.jpg,so. i lower,flower,126,apt. no.107
00383.jpg,flower,flower,"6
9+1","2nt. floor.
front."
00379.jpg,do. flower.,flower,130,apt. no.5. /st. fl
00376.jpg,so. flower,flower,146,"floor
southe"
00380.jpg,so. i lower.,flower,130,apt. no. 6. ist. floor
00382.jpg,flower,flower,,cipt. no. 205
00384.jpg,10. i lower,flower,o,"to
apt. no. 22-310. floo"
00374.jpg,west second,west,711,2nd flood west
00385.jpg,so. ilan,bunker hill ave,xxl,cipt. no. 201
00389.jpg,#NAME?,west,711½,front east side
00387.jpg,so. flower,flower,"1,977",12616
00390.jpg,flower,flower,,"apt. no. 24.
3
200"
00396.jpg,so. figueroa,figueroa,801,"apt. no..
・• no. 24. 3 ad flo"
00386.jpg,so. i lower,flower,124,apt. no. 309/2
00394.jpg,west first,west,720%2 k,pear
00392.jpg,flower,flower,130,apt. no.16-2nd floof
00393.jpg,west first,west,71814,"vond no.6 - 2nd fl
0"
00391.jpg,west second.,west,715,west rear
00397.jpg,west first,west,724,apt. no. 6-13t floor
00395.jpg,fo. figueroa,figueroa,108,no. 19-2nd flo
00401.jpg,west first,west,72-4,· no. 38-3p floo
00399.jpg,#NAME?,west,7183/4 k,lear
00398.jpg,so. digueroa.,figueroa,108,pt. no. 42b-4 flo
00407.jpg,"west
first",west,720 k,year.
00400.jpg,west first,west,724,poom no. 34–3roflo
00406.jpg,west first,west,72,foom no.37-3rpfl
00404.jpg,so. figueroa,figueroa,108,ipt. no.39- 4th floo!
00402.jpg,do. figueroa.,figueroa,108,ox. no. 23-3rp fl
00403.jpg,so. digueroo.,figueroa,108,apt. no.37-4 floop
00408.jpg,west first.,west,224,apt. no.33- 3rd. floor
00409.jpg,do. sigueroa,figueroa,801,"apt. no.42"" 4"" flog"
00405.jpg,so. fiqueroa.,figueroa,,room no. 2 2-3 rpflo
00411.jpg,30. figueroa.,figueroa,108,"ip
t. no. 25a-3 flo"
00418.jpg,weat first,west,,"apt. no.6.
ist. floor"
00414.jpg,west first,west,712,apt. no. 1- 1st. floor.
00410.jpg,west first,west,72,ipt. no.5-15 floor
00416.jpg,west first,west,748,room no. 4-1st floo
00420.jpg,so. digueroa,figueroa,,apt. no.31- 4th/lo
00422.jpg,west first,west,712,apt. no. 2- /st. floor
00413.jpg,so. fiqueroa.,figueroa,108,toom no. 18 b-2nd flo
00415.jpg,west first,west,7181/4,"no
boom no. 7- 2nd flo"
00421.jpg,west first,west,71814,p071 anton mod
00412.jpg,so. diqueron,figueroa,108,apt. no.15a=2npfle
00417.jpg,west first,west,724,apt. no.29- 2nd flo
00419.jpg,west dicat.,west,,"apt. ""d"" s.w. ist. floo,"
00423.jpg,digueroa,figueroa,108,apt. no. 18a-2nd
00424.jpg,west first.,west,724,apt. no.25-2nd floo.
00428.jpg,"10. figueron.
o.",figueroa,8,apt no 30a-3p flo
00431.jpg,west first,west,2-Jul,apt. no. 4- 1st floo
00430.jpg,so. diqueron,figueroa,108,apt. no.15a=2npfle
00429.jpg,west first,west,724,"apt. no. 21-22-2nd.
floo"
00434.jpg,west first.,west,712,"apt. no. 7-2
nd
flo"
00435.jpg,west first.,west,718,"apt. ""c""
s.e. st. floo"
00427.jpg,west first,west,8+4,hoom no. 6- 2nd flo
00425.jpg,50. figueroa.,figueroa,108,apt. no. 29-3rd flo
00436.jpg,so. fiqueron.,figueroa,108,apt. no. 16-2² flo
00432.jpg,west first,west,71814,poom/ no-5- 2nd floor
00438.jpg,west first,west,8th,room no.3-1 st. flo
00437.jpg,west first.,west,724,ipt.no.28- 2nd floo
00426.jpg,west first.,west,874,"room no. 8. 2nd floo
on"
00442.jpg,west first,west,724,room no. 41-pent ho
00443.jpg,west first,west,724,apt. no.30- 3d floom
00445.jpg,west first,west,724,room no. 1–1 st./200
00440.jpg,west first,west,xel,toom no.26-2nd flo
00446.jpg,so. fiqueroa.,figueroa,108,apt. no. 27-3p flo
00450.jpg,#NAME?,west,712,"ipt. no.3.
1st floor"
00447.jpg,west first,west,724,room no.24 - 2nd flo
00448.jpg,so. fiqueroa.,figueroa,108,apt. no. 17-2nd. flo.
00439.jpg,5o. figueroa.,figueroa,,toom no.30 b-37
00441.jpg,so. digueroa.,figueroa,108,toom no.34-4th fl
00451.jpg,west first.,west,71814,toom no.1- 2nd flo
00449.jpg,west dirst.,west,71814,toom no. 2- 2nd floo
00452.jpg,west first,west,748,room no. 5- 2nd fle
00453.jpg,west first,west,87,"poom no. 7. 2074
no"
00457.jpg,west first.,west,724,apt. no.23-2nd floo
00458.jpg,so. fiqueroa.,figueroa,108,f.no. 28-3mp flo
00456.jpg,west first,west,712,apt. no. 5- / st floor
00459.jpg,west first,west,748,roond no. 9 2nd flo
00454.jpg,west first,west,71814,room no. 3-2nd flo
00463.jpg,10. digueroa.,figueroa,108,apt no 35 a-4#fl
00455.jpg,west first.,west,"718
2",n.w.front - 1st. floo
00462.jpg,west first,west,724,room no. 40-pent hou-
00461.jpg,west first,west,724,"vom ""b"" 3rd. flog"
00460.jpg,west first,west,748,toom no 2-1 st. ze
00464.jpg,west first,west,712,apt. no.8-2nd flo
00465.jpg,west first,west,724,room no. 27- 2nd flo
00467.jpg,west first,west,724,apt. no.3-1st. floor
00470.jpg,so. figueroa,figueroa,801,no. 21-3rd flo
00466.jpg,so. idqueroa.,figueroa,108,apt. no.32-3rd floo
00469.jpg,west first,west,724,"room a = 2
floc"
00468.jpg,50. figueroa.,figueroa,,room no. 25 b-30² f
00471.jpg,so. figueroa,figueroa,108,apt.no. 40- 4th floo
00476.jpg,so. digueroa,figueroa,108,toom no.35b3-47
00473.jpg,west first,west,724,poom no.36-3rd. flo
00475.jpg,west first.,west,724,apt. no. 8-/st. floo
00474.jpg,west first.,west,718 a-1,north
00477.jpg,west first,west,718,manager-/st. floor
00472.jpg,west fiest,west,72014,rear
00478.jpg,west first,west,724,apt. no.32-3p flo0
00479.jpg,so. figueroa.,figueroa,801,apt. no. 44- 4 flo
00483.jpg,digueroa,figueroa,,upt. no. 36-41 floo
00482.jpg,west first,west,cl,apt. no.39-340 flo
00481.jpg,west first,west,724,room no. 31-3rd. flo
00480.jpg,west first,west,748,manager - 1st floor.
00485.jpg,west first,west,724,apt. no.35 3 rp. floof
00484.jpg,#NAME?,west,724,apst. no. 7- 1st flo0
00491.jpg,so. fiqueron,figueroa,108,apt. no. 26-3p floom
00489.jpg,so. figueroa,figueroa,108,"ap
upt no. 20-2nd flo"
00486.jpg,west first,west,7188 1,"rear
south"
00488.jpg,so. figueroa.,figueroa,801,apt. no. 38- 4th floc
00487.jpg,west firat.,west,72034,
00492.jpg,west first,west,724,apt. no. 2- / st. floo
00493.jpg,so. flower,flower,131,"76701
north"
00490.jpg,west first,west,724,apt. no. 20- 2nd floor
00496.jpg,flower,flower,105%,coor south - #.
00497.jpg,"west
irst",west,820,"no
apt. no. 15 2nd flo"
00495.jpg,west first.,west,or 8,room no.8. /st.fl.
00494.jpg,1o. figueroa,figueroa,116 rea,ste floor nor
00498.jpg,flower,flower,sol,ceny ne. 3- 2nd flo
00500.jpg,so. flower,flower,1371 rece,rear.
00499.jpg,west first,west,812,apt. no.5-2nd. floor
00503.jpg,west first,west,820,"apt. no. 17- 20
nd flo"
00502.jpg,so. flower.,flower,,"ind. floor.
south"
00501.jpg,so 7 lower,flower,sit,st. flood - north a
00510.jpg,"west
first",west,812,apt. no. 6- 2nd. floor
00505.jpg,first,figueroa,812,cipt. no.2. 1st flear
