index,street_raw,street,street_no,apartment_no,race_of_household
00351.jpg,jo. flower,flower,,apt. no. 303,oriental
00349.jpg,"so. i love
ver",flower,,apt. no. 202,white
00355.jpg,,west,124,0.301,white
00358.jpg,west second,west,715,room no. 2. east sio.,white
00350.jpg,west first,west,820,apt. no. 18- 2nd flo,white
00354.jpg,flower,flower,124,apt. no. 305,white
00356.jpg,west first.,west,820,apt no.3 manager,white
00357.jpg,so. flower,flower,130,apt. no.28-31² flo,white
00353.jpg,so. flower,flower,130,apt. no.10-2nd flo,white
00360.jpg,so. i lower.,flower,130,apt. no.8-/st. floo,white
00365.jpg,west second,west,72112,"nd floor
west",white
00359.jpg,to. flower,flower,130,"apt. no.15 2nd floo
loc",white
00352.jpg,i lover,flower,,"in
b",white
00366.jpg,so. flower,flower,130,cpt. no. 18-2vp floo,white
00369.jpg,west second.,west,711½,middle-east side,white
00363.jpg,so. flower,flower,9 fil,1st floor south mon,white
00364.jpg,"so. i lower.
e",flower,/24,apt. no. 102.,white
00361.jpg,so. flower,flower,,apt. no. 105,white
00362.jpg,swe,west,,·0,white
00372.jpg,i low,flower,124,ipt. no. 202,white
00370.jpg,so. flower.,flower,130,apt. no. 2-1st floor,white
00373.jpg,do. i lower,flower,,8,white
00371.jpg,so. flower,flower,116,"st. flow
south",white
00368.jpg,so. i lower,flower,130,apt.no.25-3p flo0,white
00377.jpg,i lower,flower,,cipt. no. 207,white
00378.jpg,"so
flo",flower,,cipt. no. 108,white
00375.jpg,do. flower,flower,,apt. no. 21- 3 rof lo0.,white
00381.jpg,so. i lower,flower,126,apt. no.107,white
00383.jpg,flower,flower,"6
9+1","2nt. floor.
front.",white
00379.jpg,do. flower.,flower,130,apt. no.5. /st. fl,white
00376.jpg,so. flower,flower,146,"floor
southe",white
00380.jpg,so. i lower.,flower,130,apt. no. 6. ist. floor,white
00382.jpg,flower,flower,,cipt. no. 205,white
00384.jpg,10. i lower,flower,o,"to
apt. no. 22-310. floo",white
00374.jpg,west second,west,711,2nd flood west,white
00385.jpg,so. ilan,bunker hill ave,xxl,cipt. no. 201,white
00389.jpg,#NAME?,west,711½,front east side,white
00387.jpg,so. flower,flower,"1,977",12616,mexican
00390.jpg,flower,flower,,"apt. no. 24.
3
200",white
00396.jpg,so. figueroa,figueroa,801,"apt. no..
・• no. 24. 3 ad flo",white
00386.jpg,so. i lower,flower,124,apt. no. 309/2,white
00394.jpg,west first,west,720%2 k,pear,white
00392.jpg,flower,flower,130,apt. no.16-2nd floof,white
00393.jpg,west first,west,71814,"vond no.6 - 2nd fl
0",white
00391.jpg,west second.,west,715,west rear,white
00397.jpg,west first,west,724,apt. no. 6-13t floor,oriental
00395.jpg,fo. figueroa,figueroa,108,no. 19-2nd flo,mexican
00401.jpg,west first,west,72-4,· no. 38-3p floo,white
00399.jpg,#NAME?,west,7183/4 k,lear,white
00398.jpg,so. digueroa.,figueroa,108,pt. no. 42b-4 flo,white
00407.jpg,"west
first",west,720 k,year.,white
00400.jpg,west first,west,724,poom no. 34–3roflo,white
00406.jpg,west first,west,72,foom no.37-3rpfl,white
00404.jpg,so. figueroa,figueroa,108,ipt. no.39- 4th floo!,white
00402.jpg,do. figueroa.,figueroa,108,ox. no. 23-3rp fl,white
00403.jpg,so. digueroo.,figueroa,108,apt. no.37-4 floop,white
00408.jpg,west first.,west,224,apt. no.33- 3rd. floor,white
00409.jpg,do. sigueroa,figueroa,801,"apt. no.42"" 4"" flog",white
00405.jpg,so. fiqueroa.,figueroa,,room no. 2 2-3 rpflo,white
00411.jpg,30. figueroa.,figueroa,108,"ip
t. no. 25a-3 flo",white
00418.jpg,weat first,west,,"apt. no.6.
ist. floor",mexican
00414.jpg,west first,west,712,apt. no. 1- 1st. floor.,mexican
00410.jpg,west first,west,72,ipt. no.5-15 floor,white
00416.jpg,west first,west,748,room no. 4-1st floo,white
00420.jpg,so. digueroa,figueroa,,apt. no.31- 4th/lo,oriental
00422.jpg,west first,west,712,apt. no. 2- /st. floor,white
00413.jpg,so. fiqueroa.,figueroa,108,toom no. 18 b-2nd flo,white
00415.jpg,west first,west,7181/4,"no
boom no. 7- 2nd flo",white
00421.jpg,west first,west,71814,p071 anton mod,white
00412.jpg,so. diqueron,figueroa,108,apt. no.15a=2npfle,white
00417.jpg,west first,west,724,apt. no.29- 2nd flo,white
00419.jpg,west dicat.,west,,"apt. ""d"" s.w. ist. floo,",white
00423.jpg,digueroa,figueroa,108,apt. no. 18a-2nd,white
00424.jpg,west first.,west,724,apt. no.25-2nd floo.,mexican
00428.jpg,"10. figueron.
o.",figueroa,8,apt no 30a-3p flo,white
00431.jpg,west first,west,2-Jul,apt. no. 4- 1st floo,white
00430.jpg,so. diqueron,figueroa,108,apt. no.15a=2npfle,white
00429.jpg,west first,west,724,"apt. no. 21-22-2nd.
floo",white
00434.jpg,west first.,west,712,"apt. no. 7-2
nd
flo",white
00435.jpg,west first.,west,718,"apt. ""c""
s.e. st. floo",white
00427.jpg,west first,west,8+4,hoom no. 6- 2nd flo,white
00425.jpg,50. figueroa.,figueroa,108,apt. no. 29-3rd flo,white
00436.jpg,so. fiqueron.,figueroa,108,apt. no. 16-2² flo,mexican
00432.jpg,west first,west,71814,poom/ no-5- 2nd floor,white
00438.jpg,west first,west,8th,room no.3-1 st. flo,white
00437.jpg,west first.,west,724,ipt.no.28- 2nd floo,oriental
00426.jpg,west first.,west,874,"room no. 8. 2nd floo
on",white
00442.jpg,west first,west,724,room no. 41-pent ho,white
00443.jpg,west first,west,724,apt. no.30- 3d floom,mexican
00445.jpg,west first,west,724,room no. 1–1 st./200,mexican
00440.jpg,west first,west,xel,toom no.26-2nd flo,white
00446.jpg,so. fiqueroa.,figueroa,108,apt. no. 27-3p flo,white
00450.jpg,#NAME?,west,712,"ipt. no.3.
1st floor",mexican
00447.jpg,west first,west,724,room no.24 - 2nd flo,white
00448.jpg,so. fiqueroa.,figueroa,108,apt. no. 17-2nd. flo.,white
00439.jpg,5o. figueroa.,figueroa,,toom no.30 b-37,white
00441.jpg,so. digueroa.,figueroa,108,toom no.34-4th fl,white
00451.jpg,west first.,west,71814,toom no.1- 2nd flo,white
00449.jpg,west dirst.,west,71814,toom no. 2- 2nd floo,white
00452.jpg,west first,west,748,room no. 5- 2nd fle,white
00453.jpg,west first,west,87,"poom no. 7. 2074
no",white
00457.jpg,west first.,west,724,apt. no.23-2nd floo,white
00458.jpg,so. fiqueroa.,figueroa,108,f.no. 28-3mp flo,white
00456.jpg,west first,west,712,apt. no. 5- / st floor,mexican
00459.jpg,west first,west,748,roond no. 9 2nd flo,white
00454.jpg,west first,west,71814,room no. 3-2nd flo,white
00463.jpg,10. digueroa.,figueroa,108,apt no 35 a-4#fl,white
00455.jpg,west first.,west,"718
2",n.w.front - 1st. floo,white
00462.jpg,west first,west,724,room no. 40-pent hou-,white
00461.jpg,west first,west,724,"vom ""b"" 3rd. flog",white
00460.jpg,west first,west,748,toom no 2-1 st. ze,white
00464.jpg,west first,west,712,apt. no.8-2nd flo,white
00465.jpg,west first,west,724,room no. 27- 2nd flo,white
00467.jpg,west first,west,724,apt. no.3-1st. floor,white
00470.jpg,so. figueroa,figueroa,801,no. 21-3rd flo,white
00466.jpg,so. idqueroa.,figueroa,108,apt. no.32-3rd floo,white
00469.jpg,west first,west,724,"room a = 2
floc",white
00468.jpg,50. figueroa.,figueroa,,room no. 25 b-30² f,white
00471.jpg,so. figueroa,figueroa,108,apt.no. 40- 4th floo,white
00476.jpg,so. digueroa,figueroa,108,toom no.35b3-47,white
00473.jpg,west first,west,724,poom no.36-3rd. flo,white
00475.jpg,west first.,west,724,apt. no. 8-/st. floo,white
00474.jpg,west first.,west,718 a-1,north,white
00477.jpg,west first,west,718,manager-/st. floor,white
00472.jpg,west fiest,west,72014,rear,white
00478.jpg,west first,west,724,apt. no.32-3p flo0,white
00479.jpg,so. figueroa.,figueroa,801,apt. no. 44- 4 flo,white
00483.jpg,digueroa,figueroa,,upt. no. 36-41 floo,white
00482.jpg,west first,west,cl,apt. no.39-340 flo,white
00481.jpg,west first,west,724,room no. 31-3rd. flo,mexican
00480.jpg,west first,west,748,manager - 1st floor.,white
00485.jpg,west first,west,724,apt. no.35 3 rp. floof,mexican
00484.jpg,#NAME?,west,724,apst. no. 7- 1st flo0,mexican
00491.jpg,so. fiqueron,figueroa,108,apt. no. 26-3p floom,mexican
00489.jpg,so. figueroa,figueroa,108,"ap
upt no. 20-2nd flo",white
00486.jpg,west first,west,7188 1,"rear
south",white
00488.jpg,so. figueroa.,figueroa,801,apt. no. 38- 4th floc,white
00487.jpg,west firat.,west,72034,,white
00492.jpg,west first,west,724,apt. no. 2- / st. floo,white
00493.jpg,so. flower,flower,131,"76701
north",white
00490.jpg,west first,west,724,apt. no. 20- 2nd floor,oriental
00496.jpg,flower,flower,105%,coor south - #.,white
00497.jpg,"west
irst",west,820,"no
apt. no. 15 2nd flo",white
00495.jpg,west first.,west,or 8,room no.8. /st.fl.,white
00494.jpg,1o. figueroa,figueroa,116 rea,ste floor nor,white
00498.jpg,flower,flower,sol,ceny ne. 3- 2nd flo,white
00500.jpg,so. flower,flower,1371 rece,rear.,white
00499.jpg,west first,west,812,apt. no.5-2nd. floor,white
00503.jpg,west first,west,820,"apt. no. 17- 20
nd flo",white
00502.jpg,so. flower.,flower,,"ind. floor.
south",white
00501.jpg,so 7 lower,flower,sit,st. flood - north a,white
00510.jpg,"west
first",west,812,apt. no. 6- 2nd. floor,white
00505.jpg,first,figueroa,812,cipt. no.2. 1st flear,white
00504.jpg,"west.
first",west,,"apt. 1st floor (tra
41",white
00508.jpg,figueroa,figueroa,7711,(st. floor soute,white
00507.jpg,flower.,flower,115,2nd. fond,white
00506.jpg,west first,west,82,apt. no. 24-2000 flo,white
00511.jpg,jo. i lower,flower,105,toom no. 2-2~² floor,white
00513.jpg,so. flower.,flower,101,ist. floor north,mexican
00509.jpg,so. flower,flower,115,1st. floor south,white
00514.jpg,west first,west,820,room no. 7. /st.fl,white
00512.jpg,west first,west,820,apt. no. 16- 2nd floo,white
00516.jpg,so. flower,flower,"1,16/",st. floor south,white
00517.jpg,"west
first",west,812,apt. no.11- 3rd. domin,white
00515.jpg,so figueroa.,figueroa,801,floor manag,white
00520.jpg,so. flower,flower,129,1st floor north,white
00519.jpg,so. figueroa.,figueroa,108,apt. no. 14-2,white
00522.jpg,0. flowe,flower,129,toom no. 4- 2nd flo,white
00523.jpg,figueroa,figueroa,108,apt. no.1-1st floo,white
00521.jpg,west first,west,820,pt.no.30-3rd floo,white
00527.jpg,lower.,flower,103,room no. 3-2 floor,white
00525.jpg,so. flower,flower,107,"floor
north",white
00524.jpg,west first.,west,820,apt. no. 12-/st. flo,white
00526.jpg,west first,west,820,apt.no.29-3rd floo,white
00531.jpg,west first,west,20,apt. no. 5- 1st. flo,white
00533.jpg,flower.,flower,129,toom no. 5-20⁰0 flo.,white
00529.jpg,west first,west,820,apt. no 33-3rd flo,white
00528.jpg,"so
lower.",flower,103,"room no. 2-2
b",white
00532.jpg,do. fiqueroa,figueroa,807,apt. no.8 /st. floo,white
00534.jpg,west first,west,820,toom no. 31-3rd floo,white
00537.jpg,west first.,west,820,apt. #6- 1st. floor,white
00535.jpg,so. diqueroa.,figueroa,108,room no.15 2nd flo,mexican
00536.jpg,6. flowe,flower,123,2nd floor,mexican
00539.jpg,west first,west,812,a apt. no.12-3rd.,white
00540.jpg,"west.
first",west,820,toom no.32- 3rd flen,white
00541.jpg,so flower.,flower,10942,noom no.4-2,white
00538.jpg,i lower,flower,///,1st floor south cre,white
00546.jpg,lower,flower,103,"apt. no.
ne.",white
00542.jpg,west first,west,820,room no.25-3rd floo,white
00543.jpg,flower,flower,125,st. floor,mexican
00547.jpg,west first,west,0,room no. 14- 2nd. he,white
00550.jpg,"0
flower",flower,129,room no1. inter,white
00548.jpg,po flower.,flower,1051,apt. no.5-1st floo,white
00549.jpg,west first,west,820,apt. no. 9- 1st. floo,white
00545.jpg,west first.,west,81,apt. no. 9- 3rd floor,white
00553.jpg,so. i lower.,flower,cot,nd floor (rear),white
00551.jpg,so. figueroa.,figueroa,108,"room no. 10, 2nd fl",white
00552.jpg,so. i lewer.,flower,,"toom no.
✓
no. 2-2
2-2~ floe",white
00557.jpg,figuero,figueroa,108,apt. no. 12-2nd floo,white
00555.jpg,5o. i lower.,flower,29,"toom no. 3-2 ~ flo
po",white
00554.jpg,so. i lower.,flower,103,toom no. 1. 2nd floo,white
00556.jpg,so flower,flower,129,"1st floor
en",white
00559.jpg,"""west first.",west,820,apt. no. 27- 3rd floor,white
00558.jpg,eo. i lower.,flower,1052,"/100m no 3-1 st. floo.
toom",white
00560.jpg,10. flowe,flower,103,007-on mo,white
00561.jpg,west first,west,18,apt. no. 103rd. flear.,white
00563.jpg,so. hower.,flower,125,st. floor with,mexican
00564.jpg,"west
first",west,820,room no. 26-3rd flc,white
00565.jpg,west first,west,20,apt. no. 5- 1st. flo,white
00562.jpg,so. flower,flower,777,poom no. 2-1st flo,white
00566.jpg,so. i lower.,flower,109/,2nd. floor south,white
00574.jpg,so flower,flower,,2nd. flood front.,white
00568.jpg,"2 flower
7",flower,105,"room no.1
fron",white
00569.jpg,west first,west,820,toom no. 19. 2nd floo,white
00567.jpg,west first,west,820,tooms n034- 3rd floo,white
00570.jpg,"flow
ower",flower,105%2,toome no. 2-1st floof,white
00573.jpg,so. figueroa.,figueroa,114,"floor north
of",white
00572.jpg,"west
first",west,812,apt. #4- lat floor,white
00571.jpg,west first.,west,820,toom no. 2- 1-st. floo,white
00575.jpg,80 flower,flower,133 a,30,white
00578.jpg,flower.,flower,119,apt. no.2- north,white
00576.jpg,flower.,flower,105,room no. 5-2nd floor,white
00577.jpg,west first,west,820,apt. no. 28-39p. flo,white
00581.jpg,west first.,west,812,apt. no.8-2-ne farr,white
00579.jpg,so. i lower.,flower,113,2nd. floor,white
00582.jpg,so. i lower.,flower,,(st. floor.,white
00580.jpg,"west
first",west,812,apt no. 7 2nd flow,white
00588.jpg,"so. fiqueron.
7",figueroa,116 rea,1 st. flow south,white
00585.jpg,flower,flower,,om no. 4-2nd flo,white
00584.jpg,west first,west,820,apt. no. 36-3rd flo,white
00587.jpg,jo. flower,flower,lei,,white
00583.jpg,flower,flower,119,ipt. no. 1- south,white
00589.jpg,west first,west,812,apt. no. 3. 1st. henr.,white
00586.jpg,"so, flower",flower,sii,1st. floor northe,white
00592.jpg,west first,west,820,room no. 15a - 2nd fl-,white
00593.jpg,"so, i lower.",flower,105,2nd floor south wes,white
00590.jpg,west first,west,820,room no.10. /st. flo,white
00595.jpg,hers,west,306,"14
2d floor",white
00591.jpg,so. ilawver.,flower,105%2,room no... - 1st flo,white
00594.jpg,s. clay,clay,219,c-north east - 2nd flo,white
00597.jpg,clay,clay,331-335,,white
00596.jpg,clay,clay,328/2,"a
upper- reap",white
00605.jpg,clay,clay,310,"base me
plook",white
00603.jpg,s. clay,clay,219,"d-south east-2""",white
00599.jpg,chay,clay,331-335,23185,white
00606.jpg,clay,clay,306,"77
29 f10011",white
00602.jpg,clay,clay,306,"15
20 flook
r",white
00600.jpg,clay,clay,331-335-,23183,white
00608.jpg,chay,clay,331-335,"16182
a",white
00607.jpg,,west,331-335,,white
00613.jpg,"clay
(south",clay,219,"f-
south east
- 1st",white
00614.jpg,s. clay,clay,219,north west - 2nd,white
00617.jpg,clay,clay,306,,white
00615.jpg,s. clay,clay,219,forth west - third floor,white
00611.jpg,2-Feb,west,306,"16
2d floor",white
00609.jpg,clay,clay,331-335,100,white
00616.jpg,clay,clay,306,"lower
level",white
00612.jpg,clay,clay,306,"71
1st floor",white
00610.jpg,chay,clay,331-335,&,white
00621.jpg,clay,clay,306,base ment floor,white
00622.jpg,s. clay,clay,219,south west- 3rd floo,white
00618.jpg,clay,clay,331-335,12,white
00633.jpg,clay,clay,345,23184,white
00627.jpg,hoto,hope,30.6,"2
lower
lever",white
00624.jpg,clay,clay,306,"3
lower
love/",white
00626.jpg,clay,clay,331-335,,white
00625.jpg,clay,clay,331-335,23191,white
00634.jpg,clay,clay,330/2,no. side - lower,white
00635.jpg,clay,clay,332/2,"687
2d floor",white
00619.jpg,clay,clay,331-335,"6
23192",white
00628.jpg,clay,clay,306,po,white
00620.jpg,the 15,hope,90e,"12
1st moor",white
00632.jpg,@bay,clay,331-335,335 floor,white
00623.jpg,clay,clay,306,"a
1st floor",white
00640.jpg,clay,clay,332,7408,white
00637.jpg,clay,clay,345,"109
23182",white
00645.jpg,"chay
l",clay,345,"207
2316",white
00641.jpg,clay st.,clay,350,front,white
00643.jpg,clay,clay,331-335,19,white
00636.jpg,chay,clay,331-335,22,white
00639.jpg,chax,clay,381-335,"33/
1 floor",white
00638.jpg,chay,clay,3,23183,white
00642.jpg,clay,clay,3322,1th rear 2d floor,white
00649.jpg,clay,clay,332/2,front 21 fla,white
00648.jpg,clay,clay,354,front,white
00653.jpg,clay,clay,331-335,"21
34466",white
00656.jpg,help,hope,332/2,"5
2d floor front",white
00647.jpg,clay,clay,334 12,"pont
1st floor",white
00651.jpg,clay,clay,345,"209
23168",white
00652.jpg,chay,clay,331-335,20,white
00655.jpg,clay st.,clay,340,front,white
00658.jpg,teto,west,345,306,white
00646.jpg,chay,clay,331-335,8,white
00657.jpg,clay,clay,334,"front
mgr.",white
00654.jpg,chay,clay,345,18,white
00667.jpg,clay,clay,,,white
00664.jpg,clay,clay,345,308,white
00665.jpg,chay,clay,-345,"07
23180",white
00669.jpg,clay,clay,306,"21
3d floor",white
00660.jpg,clay st.,clay,338-336,front,white
00661.jpg,clay,clay,328/2,pper-front,white
00668.jpg,chay,clay,345,60e,white
00662.jpg,clay,clay,345,"106
23179",white
00666.jpg,hep,hope,328/2,"n
2.
24 hoor",white
00677.jpg,clay,clay,306,3d floor,white
00673.jpg,clay,clay,306,"6
lower level",white
00670.jpg,heto,west,306,"n
lower level",white
00659.jpg,chay,clay,345,305,white
00672.jpg,chay,clay,331-335,,white
00663.jpg,chay,clay,345,307,white
00674.jpg,clay,clay,306,"20
jo",white
00671.jpg,chay,clay,331-335,21,white
00676.jpg,clay,clay,219,e-north east-,white
00679.jpg,clay,clay,331-335,88186,white
00689.jpg,alpine st,west,,,
00678.jpg,chay,clay,331-335,"room a
23187",white
00682.jpg,so. fiqueron.,figueroa,108,"apt. no. 16-2²
flo",white
00701.jpg,s.flower,flower,330,60= 4 floor kra-,white
00681.jpg,so. hower,flower,125,st. floor worth,white
00675.jpg,s. clay,clay,-2.19,south west - 2,white
00680.jpg,clay,clay,306,"19
34 flook",white
00692.jpg,so. figueroa,figueroa,108,room no.15 2nd flo,white
